strain	state	year
16CO026	OR	2016
16CO02604	OR	2016
16CO02605	OR	2016
16CO03501	OR	2016
16CO03802	OR	2016
16CO03901	OR	2016
17CO00101	OR	2017
17CO00203	OR	2017
17CO01902	OR	2017
17CO02301	OR	2017
17CO02302	OR	2017
17CO03101	OR	2017
17CO07001	OR	2017
17CO07002	OR	2017
17CO08001	OR	2017
17CO08002	OR	2017
17CO08003	OR	2017
17CO08801	OR	2017
Car001	CA	1985
Car002	Canada	1957
Car003	ID	1990
Car004	WA	1994
Car008	WA	2001
Car015	WA	2001
Car016	WA	2001
Car017	WA	2001
Car018	WA	2001
Car019	WA	2001
Car020	WA	2001
Car021	WA	2001
Car022	WA	2001
Car023	WA	2001
Car024	WA	2001
Car025	WA	
Car026	WA	
Car028	WA	2002
Car029	WA	2002
Car031	WA	2002
Car033	WA	2002
Car035	WA	2002
Car040	WA	2002
Car041	WA	2002
Car044	WA	2002
Car046	WA	2002
Car047	WA	2002
Car061	WA	2003
Car062	WA	2003
Car066	WA	2003
Car074	ID	2003
Car081	WA	2003
Car083	WA	2003
Car090	WA	2003
Car094	WA	2003
Car096	WA	2003
Car100	WA	2003
Car111	WA	2003
Car117	WA	2003
Car125	WI	2012
Car127	IN	2012
Car141	WI	2013
Car146	WA	2014
21-194-B	China	2020
21-200-B	South Africa	2020
14-020-B		2014
14-022-B		2014
16-297-B		2016
16-317-B		2016
16-347-B		2016
16-354-B		2016
17-044-B		2017
17-049-B		2017
21-269-B	CA	2021
21-270-B	CA	2021
16CO02601		
19-333		
19-133-B		
21-195-B	China	2020
21-224-B	South Africa	2020
21-283-B	Netherlands	
21-284-B	France	
21-285-B	Netherlands	
21-289-B		
21-290-B	Germany	
21-296-B		
21-298-B	New Zealand	
21-299-B	China	
21-444-B	OR	2021
21-445-B	OR	2021
21-446-B	OR	2021
21-447-B	OR	2021
21-448-B	OR	2021
21-449-B	OR	2021
21-417-B	OR	2021
21-418-B	OR	2021
21-419-B	OR	2021
16-330-B	OR	2016
16-331-B	OR	2016
19-347-B	OR	2019
19-338-B	OR	2019
20-057-B	OR	2020
21-342-B	OR	2021
21-310-B	OR	2021
21-311-B	OR	2021
21-304-B	OR	2022
21-307-B	OR	2022
21-318-B	OR	2021
21-326-B	OR	2021
14-006-B	OR	2014
Xc11	CA	1939
XC11	CA	1939
Xc104	CA	1948
Xc139	Hungary	1956
Xc140	Hungary	1956
